0	0	0
0.004	1	0
0.008	1	0.09503
0.012	1	0.181015
0.016	1	0.258807
0.02	1	0.32918
0.024	1	0.392833
0.028	1	0.450402
0.032	1	0.502462
0.036	1	0.549535
0.04	1	0.592093
0.044	1	0.630564
0.048	1	0.665337
0.052	1	0.696763
0.056	1	0.72516
0.06	1	0.750817
0.064	1	0.773994
0.068	1	0.794929
0.072	1	0.813836
0.076	1	0.830908
0.08	1	0.846322
0.084	1	0.860235
0.088	1	0.872793
0.092	1	0.884125
0.096	1	0.894349
0.1	1	0.903572
0.104	1	0.911891
0.108	1	0.919392
0.112	1	0.926155
0.116	1	0.932252
0.12	1	0.937746
0.124	1	0.942696
0.128	1	0.947156
0.132	1	0.951173
0.136	1	0.95479
0.14	1	0.958046
0.144	1	0.960977
0.148	1	0.963614
0.152	1	0.965986
0.156	1	0.968119
0.16	1	0.970037
0.164	1	0.971762
0.168	1	0.973311
0.172	1	0.974703
0.176	1	0.975953
0.18	1	0.977075
0.184	1	0.978082
0.188	1	0.978985
0.192	1	0.979796
0.196	1	0.980522
0.2	1	0.981173
0.204	1	0.981756
0.208	1	0.982279
0.212	1	0.982746
0.216	1	0.983164
0.22	1	0.983538
0.224	1	0.983872
0.228	1	0.984171
0.232	1	0.984437
0.236	1	0.984675
0.24	1	0.984887
0.244	1	0.985076
0.248	1	0.985244
0.252	1	0.985394
0.256	1	0.985527
0.26	1	0.985646
0.264	1	0.985751
0.268	1	0.985844
0.272	1	0.985927
0.276	1	0.986
0.28	1	0.986065
0.284	1	0.986122
0.288	1	0.986173
0.292	1	0.986217
0.296	1	0.986256
0.3	1	0.986291
0.304	1	0.986321
0.308	1	0.986347
0.312	1	0.98637
0.316	1	0.986391
0.32	1	0.986408
0.324	1	0.986423
0.328	1	0.986437
0.332	1	0.986448
0.336	1	0.986458
0.34	1	0.986466
0.344	1	0.986474
0.348	1	0.98648
0.352	1	0.986485
0.356	1	0.986489
0.36	1	0.986493
0.364	1	0.986496
0.368	1	0.986498
0.372	1	0.9865
0.376	1	0.986501
0.38	1	0.986503
0.384	1	0.986503
0.388	1	0.986504
0.392	1	0.986504
0.396	1	0.986504
0.4	1	0.986504
0.404	1	0.986504
0.408	1	0.986504
0.412	1	0.986504
0.416	1	0.986503
0.42	1	0.986503
0.424	1	0.986502
0.428	1	0.986502
0.432	1	0.986501
0.436	1	0.986501
0.44	1	0.9865
0.444	1	0.986499
0.448	1	0.986499
0.452	1	0.986498
0.456	1	0.986498
0.46	1	0.986497
0.464	1	0.986497
0.468	1	0.986496
0.472	1	0.986496
0.476	1	0.986495
0.48	1	0.986495
0.484	1	0.986494
0.488	1	0.986494
0.492	1	0.986493
0.496	1	0.986493
0.5	1	0.986492
0.504	1	0.986492
0.508	1	0.986492
0.512	1	0.986491
0.516	1	0.986491
0.52	1	0.986491
0.524	1	0.986491
0.528	1	0.98649
0.532	1	0.98649
0.536	1	0.98649
0.54	1	0.98649
0.544	1	0.986489
0.548	1	0.986489
0.552	1	0.986489
0.556	1	0.986489
0.56	1	0.986489
0.564	1	0.986489
0.568	1	0.986488
0.572	1	0.986488
0.576	1	0.986488
0.58	1	0.986488
0.584	1	0.986488
0.588	1	0.986488
0.592	1	0.986488
0.596	1	0.986488
0.6	1	0.986488
0.604	1	0.986487
0.608	1	0.986487
0.612	1	0.986487
0.616	1	0.986487
0.62	1	0.986487
0.624	1	0.986487
0.628	1	0.986487
0.632	1	0.986487
0.636	1	0.986487
0.64	1	0.986487
0.644	1	0.986487
0.648	1	0.986487
0.652	1	0.986487
0.656	1	0.986487
0.66	1	0.986487
0.664	1	0.986487
0.668	1	0.986487
0.672	1	0.986487
0.676	1	0.986487
0.68	1	0.986487
0.684	1	0.986487
0.688	1	0.986487
0.692	1	0.986487
0.696	1	0.986487
0.7	1	0.986487
0.704	1	0.986487
0.708	1	0.986487
0.712	1	0.986487
0.716	1	0.986487
0.72	1	0.986487
0.724	1	0.986487
0.728	1	0.986487
0.732	1	0.986487
0.736	1	0.986487
0.74	1	0.986487
0.744	1	0.986487
0.748	1	0.986487
0.752	1	0.986487
0.756	1	0.986487
0.76	1	0.986487
0.764	1	0.986487
0.768	1	0.986487
0.772	1	0.986487
0.776	1	0.986487
0.78	1	0.986487
0.784	1	0.986487
0.788	1	0.986487
0.792	1	0.986487
0.796	1	0.986487
0.8	1	0.986487
0.804	1	0.986487
0.808	1	0.986487
0.812	1	0.986487
0.816	1	0.986487
0.82	1	0.986487
0.824	1	0.986486
0.828	1	0.986486
0.832	1	0.986486
0.836	1	0.986486
0.84	1	0.986486
0.844	1	0.986486
0.848	1	0.986486
0.852	1	0.986486
0.856	1	0.986486
0.86	1	0.986486
0.864	1	0.986486
0.868	1	0.986486
0.872	1	0.986486
0.876	1	0.986486
0.88	1	0.986486
0.884	1	0.986486
0.888	1	0.986486
0.892	1	0.986486
0.896	1	0.986486
0.9	1	0.986486
0.904	1	0.986486
0.908	1	0.986486
0.912	1	0.986486
0.916	1	0.986486
0.92	1	0.986486
0.924	1	0.986486
0.928	1	0.986486
0.932	1	0.986486
0.936	1	0.986486
0.94	1	0.986486
0.944	1	0.986486
0.948	1	0.986486
0.952	1	0.986486
0.956	1	0.986486
0.96	1	0.986486
0.964	1	0.986486
0.968	1	0.986486
0.972	1	0.986486
0.976	1	0.986486
0.98	1	0.986486
0.984	1	0.986486
0.988	1	0.986486
0.992	1	0.986486
0.996	1	0.986486
1	1	0.986486
1.004	1	0.986486
1.008	1	0.986486
1.012	1	0.986486
1.016	1	0.986486
