T	X[nTp]	Y[nTp]
0	0	0
0.004	200	0
0.008	0	19.006
0.012	0	17.197
0.016	0	15.5584
0.02	0	14.0745
0.024	0	12.7306
0.028	0	11.5138
0.032	0	10.412
0.036	0	9.41456
0.04	0	8.51161
0.044	0	7.6943
0.048	0	6.95459
0.052	0	6.28516
0.056	0	5.67942
0.06	0	5.13135
0.064	0	4.63552
0.068	0	4.187
0.072	0	3.78132
0.076	0	3.41444
0.08	0	3.08268
0.084	0	2.78272
0.088	0	2.51153
0.092	0	2.2664
0.096	0	2.04485
0.1	0	1.84463
0.104	0	1.66372
0.108	0	1.50027
0.112	0	1.35262
0.116	0	1.21927
0.12	0	1.09885
0.124	0	0.990114
0.128	0	0.891951
0.132	0	0.803344
0.136	0	0.723378
0.14	0	0.651221
0.144	0	0.586122
0.148	0	0.527401
0.152	0	0.474443
0.156	0	0.426691
0.16	0	0.383641
0.164	0	0.344838
0.168	0	0.309871
0.172	0	0.278366
0.176	0	0.249987
0.18	0	0.224429
0.184	0	0.201417
0.188	0	0.180703
0.192	0	0.162061
0.196	0	0.145288
0.2	0	0.130201
0.204	0	0.116633
0.208	0	0.104436
0.212	0	0.0934736
0.216	0	0.0836239
0.22	0	0.0747767
0.224	0	0.0668323
0.228	0	0.0597011
0.232	0	0.0533018
0.236	0	0.0475615
0.24	0	0.042414
0.244	0	0.0378
0.248	0	0.0336657
0.252	0	0.0299628
0.256	0	0.0266476
0.26	0	0.023681
0.264	0	0.0210274
0.268	0	0.018655
0.272	0	0.016535
0.276	0	0.0146417
0.28	0	0.0129516
0.284	0	0.0114439
0.288	0	0.0100996
0.292	0	0.00890191
0.296	0	0.00783546
0.3	0	0.00688657
0.304	0	0.00604291
0.308	0	0.00529339
0.312	0	0.00462808
0.316	0	0.00403803
0.32	0	0.00351521
0.324	0	0.00305245
0.328	0	0.00264326
0.332	0	0.00228187
0.336	0	0.00196307
0.34	0	0.00168223
0.344	0	0.00143516
0.348	0	0.00121814
0.352	0	0.00102782
0.356	0	0.000861229
0.36	0	0.000715683
0.364	0	0.000588798
0.368	0	0.000478442
0.372	0	0.000382709
0.376	0	0.000299902
0.38	0	0.000228506
0.384	0	0.000167171
0.388	0	0.000114694
0.392	0	7.00065e-005
0.396	0	3.21564e-005
0.4	0	2.98412e-007
0.404	0	-2.63179e-005
0.408	0	-4.83585e-005
0.412	0	-6.64133e-005
0.416	0	-8.10048e-005
0.42	0	-9.25952e-005
0.424	0	-0.000101593
0.428	0	-0.000108357
0.432	0	-0.000113206
0.436	0	-0.00011642
0.44	0	-0.000118243
0.444	0	-0.000118891
0.448	0	-0.000118552
0.452	0	-0.000117392
0.456	0	-0.000115554
0.46	0	-0.000113164
0.464	0	-0.000110329
0.468	0	-0.000107145
0.472	0	-0.000103692
0.476	0	-0.00010004
0.48	0	-9.6249e-005
0.484	0	-9.23696e-005
0.488	0	-8.84452e-005
0.492	0	-8.45123e-005
0.496	0	-8.06014e-005
0.5	0	-7.67377e-005
0.504	0	-7.29422e-005
0.508	0	-6.92316e-005
0.512	0	-6.56194e-005
0.516	0	-6.21163e-005
0.52	0	-5.87301e-005
0.524	0	-5.54667e-005
0.528	0	-5.23299e-005
0.532	0	-4.93223e-005
0.536	0	-4.64447e-005
0.54	0	-4.36971e-005
0.544	0	-4.10783e-005
0.548	0	-3.85867e-005
0.552	0	-3.62196e-005
0.556	0	-3.39741e-005
0.56	0	-3.18468e-005
0.564	0	-2.9834e-005
0.568	0	-2.79318e-005
0.572	0	-2.61359e-005
0.576	0	-2.44423e-005
0.58	0	-2.28465e-005
0.584	0	-2.13444e-005
0.588	0	-1.99315e-005
0.592	0	-1.86037e-005
0.596	0	-1.73568e-005
0.6	0	-1.61867e-005
0.604	0	-1.50894e-005
0.608	0	-1.40611e-005
0.612	0	-1.3098e-005
0.616	0	-1.21965e-005
0.62	0	-1.13531e-005
0.624	0	-1.05645e-005
0.628	0	-9.82756e-006
0.632	0	-9.13918e-006
0.636	0	-8.49649e-006
0.64	0	-7.8967e-006
0.644	0	-7.33721e-006
0.648	0	-6.81551e-006
0.652	0	-6.32925e-006
0.656	0	-5.87619e-006
0.66	0	-5.45422e-006
0.664	0	-5.06135e-006
0.668	0	-4.69569e-006
0.672	0	-4.35547e-006
0.676	0	-4.03902e-006
0.68	0	-3.74476e-006
0.684	0	-3.47123e-006
0.688	0	-3.21704e-006
0.692	0	-2.98088e-006
0.696	0	-2.76154e-006
0.7	0	-2.55786e-006
0.704	0	-2.36878e-006
0.708	0	-2.19329e-006
0.712	0	-2.03046e-006
0.716	0	-1.8794e-006
0.72	0	-1.73931e-006
0.724	0	-1.6094e-006
0.728	0	-1.48896e-006
0.732	0	-1.37733e-006
0.736	0	-1.27388e-006
0.74	0	-1.17803e-006
0.744	0	-1.08925e-006
0.748	0	-1.00701e-006
0.752	0	-9.30861e-007
0.756	0	-8.60356e-007
0.76	0	-7.9509e-007
0.764	0	-7.34684e-007
0.768	0	-6.78783e-007
0.772	0	-6.27061e-007
0.776	0	-5.79212e-007
0.78	0	-5.34952e-007
0.784	0	-4.94019e-007
0.788	0	-4.56168e-007
0.792	0	-4.21172e-007
0.796	0	-3.88819e-007
0.8	0	-3.58915e-007
0.804	0	-3.31276e-007
0.808	0	-3.05736e-007
0.812	0	-2.82137e-007
0.816	0	-2.60334e-007
0.82	0	-2.40194e-007
0.824	0	-2.21591e-007
0.828	0	-2.04411e-007
0.832	0	-1.88546e-007
0.836	0	-1.73897e-007
0.84	0	-1.60372e-007
0.844	0	-1.47887e-007
0.848	0	-1.36363e-007
0.852	0	-1.25726e-007
0.856	0	-1.1591e-007
0.86	0	-1.06852e-007
0.864	0	-9.84938e-008
0.868	0	-9.07827e-008
0.872	0	-8.36691e-008
0.876	0	-7.71072e-008
0.88	0	-7.10548e-008
0.884	0	-6.54729e-008
0.888	0	-6.03252e-008
0.892	0	-5.55784e-008
0.896	0	-5.12017e-008
0.9	0	-4.71665e-008
0.904	0	-4.34464e-008
0.908	0	-4.00172e-008
0.912	0	-3.68563e-008
0.916	0	-3.39429e-008
0.92	0	-3.12579e-008
0.924	0	-2.87836e-008
0.928	0	-2.65035e-008
0.932	0	-2.44026e-008
0.936	0	-2.24669e-008
0.94	0	-2.06836e-008
0.944	0	-1.90408e-008
0.948	0	-1.75274e-008
0.952	0	-1.61335e-008
0.956	0	-1.48496e-008
0.96	0	-1.36672e-008
0.964	0	-1.25782e-008
0.968	0	-1.15754e-008
0.972	0	-1.0652e-008
0.976	0	-9.80182e-009
0.98	0	-9.01901e-009
0.984	0	-8.29831e-009
0.988	0	-7.63483e-009
0.992	0	-7.02406e-009
0.996	0	-6.46184e-009
1	0	-5.94435e-009
1.004	0	-5.46805e-009
1.008	0	-5.02968e-009
1.012	0	-4.62625e-009
1.016	0	-4.25499e-009
1.02	0	-3.91336e-009
1.024	0	-3.59899e-009
1.028	0	-3.30974e-009
1.032	0	-3.04361e-009
1.036	0	-2.79876e-009
1.04	0	-2.5735e-009
1.044	0	-2.36628e-009
1.048	0	-2.17565e-009
1.052	0	-2.0003e-009
1.056	0	-1.83901e-009
1.06	0	-1.69067e-009
1.064	0	-1.55422e-009
1.068	0	-1.42874e-009
1.072	0	-1.31334e-009
1.076	0	-1.20721e-009
1.08	0	-1.10962e-009
1.084	0	-1.01988e-009
1.088	0	-9.37365e-010
1.092	0	-8.61496e-010
1.096	0	-7.9174e-010
1.1	0	-7.27606e-010
1.104	0	-6.68645e-010
1.108	0	-6.14441e-010
1.112	0	-5.64612e-010
